most_altitude,most_location_provider,most_long_1,most_lat_1,Frequency_gps_points,loan_outcome
Low,fused,A,A,70.0,repaid
High,fused,A,A,10.0,defaulted
High,gps,C,B,1.0,defaulted
Low,fused,A,B,2.0,repaid
Low,fused,A,A,9.0,defaulted
Low,fused,D,B,29.0,repaid
Low,network,D,B,274.0,defaulted
Low,gps,A,A,22.0,repaid
Low,fused,D,B,39.0,repaid
Low,fused,A,A,4.0,repaid
Low,fused,A,A,107.0,defaulted
Low,fused,D,B,42.0,repaid
Low,fused,A,A,46.0,repaid
Low,fused,A,A,20.0,repaid
Low,fused,A,A,29.0,repaid
Low,fused,A,B,69.0,defaulted
Low,fused,A,A,84.0,defaulted
High,fused,A,A,4.0,repaid
Low,fused,E,C,2.0,defaulted
Low,fused,A,A,46.0,defaulted
Low,fused,C,B,58.0,repaid
Low,fused,A,A,60.0,repaid
High,fused,A,A,21.0,repaid
Low,fused,C,A,72.0,repaid
Low,fused,C,B,109.0,defaulted
High,gps,A,A,206.0,repaid
High,fused,D,B,619.0,repaid
Low,fused,A,A,77.0,repaid
Low,fused,A,A,23.0,defaulted
Low,fused,D,B,61.0,defaulted
Low,fused,A,A,95.0,repaid
Low,fused,A,A,102.0,repaid
Low,fused,A,A,112.0,repaid
Low,fused,A,A,175.0,repaid
Low,fused,A,A,62.0,repaid
Low,fused,A,A,9.0,defaulted
Low,fused,A,A,2.0,defaulted
Low,fused,E,C,210.0,defaulted
Low,fused,A,A,120.0,defaulted
Low,fused,A,A,130.0,repaid
High,fused,A,A,7.0,defaulted
Low,fused,A,A,40.0,defaulted
Low,network,A,B,100.0,defaulted
Low,fused,D,B,4.0,repaid
Low,fused,F,A,86.0,defaulted
Low,fused,A,B,3.0,defaulted
Low,fused,A,B,21.0,repaid
Low,fused,A,A,163.0,repaid
Low,fused,A,A,69.0,repaid
Low,gps,A,A,16.0,repaid
Low,fused,A,A,14.0,repaid
Low,fused,A,A,98.0,defaulted
Low,fused,D,B,24.0,repaid
High,gps,D,B,36.0,repaid
Low,fused,A,B,25.0,defaulted
Low,fused,C,B,10.0,defaulted
Low,fused,F,A,42.0,repaid
Low,fused,A,A,131.0,defaulted
Low,fused,A,A,4.0,defaulted
Low,fused,A,A,41.0,defaulted
Low,fused,A,A,45.0,defaulted
Low,fused,A,A,24.0,repaid
Low,fused,A,A,30.0,defaulted
Low,network,D,B,24.0,defaulted
Low,fused,A,A,96.0,repaid
Low,fused,A,A,28.0,defaulted
Low,fused,A,A,38.0,defaulted
Low,fused,A,A,13.0,defaulted
Low,fused,F,B,44.0,repaid
Low,fused,E,D,40.0,defaulted
Low,network,A,B,270.0,repaid
Low,fused,C,B,154.0,defaulted
High,fused,A,A,58.0,defaulted
Low,fused,E,C,10.0,repaid
Low,fused,A,A,42.0,defaulted
Low,fused,A,A,28.0,repaid
Low,fused,G,E,229.0,defaulted
Low,network,A,A,76.0,defaulted
High,fused,A,A,5.0,repaid
Low,fused,D,B,46.0,repaid
Low,gps,F,A,9.0,repaid
Low,fused,A,A,7.0,defaulted
Low,fused,F,A,146.0,repaid
Low,fused,A,A,91.0,defaulted
Low,fused,A,A,46.0,repaid
Low,fused,A,A,84.0,repaid
Low,fused,C,B,79.0,repaid
Low,fused,D,A,12.0,defaulted
Low,fused,A,B,494.0,repaid
Low,network,C,B,121.0,repaid
Low,fused,A,A,111.0,repaid
Low,fused,D,B,224.0,repaid
Low,fused,A,A,133.0,repaid
Low,fused,E,D,226.0,repaid
Low,fused,A,A,57.0,defaulted
Low,fused,C,B,172.0,repaid
Low,fused,A,A,22.0,repaid
Low,network,A,A,177.0,defaulted
Low,fused,A,A,7.0,defaulted
Low,fused,D,F,16.0,defaulted
Low,fused,C,B,81.0,repaid
Low,fused,A,A,74.0,repaid
Low,fused,A,A,52.0,defaulted
Low,fused,A,A,5.0,defaulted
High,fused,A,A,81.0,repaid
Low,fused,A,A,15.0,repaid
Low,fused,A,A,47.0,defaulted
Low,fused,A,B,38.0,repaid
Low,fused,C,A,5.0,repaid
Low,fused,E,C,53.0,defaulted
Low,fused,A,A,36.0,defaulted
Low,fused,A,A,42.0,repaid
Low,network,A,A,272.0,repaid
Low,fused,E,C,101.0,repaid
Low,fused,A,A,43.0,repaid
Low,fused,D,B,29.0,defaulted
Low,network,E,D,7.0,repaid
Low,fused,A,B,227.0,repaid
Low,fused,F,A,96.0,repaid
Low,fused,A,A,205.0,defaulted
Low,fused,E,C,28.0,repaid
Low,fused,D,B,48.0,repaid
Low,fused,A,A,127.0,repaid
Low,fused,A,A,74.0,repaid
Low,fused,A,A,21.0,repaid
Low,fused,E,C,86.0,defaulted
Low,fused,A,A,218.0,defaulted
Low,fused,D,B,51.0,defaulted
Low,fused,A,A,24.0,repaid
Low,fused,A,A,159.0,repaid
Low,fused,D,B,60.0,defaulted
Low,fused,A,A,19.0,repaid
Low,fused,D,B,95.0,defaulted
High,gps,A,A,3.0,repaid
Low,fused,C,B,105.0,defaulted
Low,fused,A,A,15.0,repaid
Low,fused,A,A,120.0,defaulted
High,fused,A,A,6.0,repaid
High,fused,F,A,18.0,defaulted
High,gps,A,A,91.0,repaid
Low,fused,A,A,25.0,defaulted
Low,fused,A,B,16.0,repaid
Low,fused,A,A,16.0,defaulted
Low,fused,F,A,29.0,repaid
High,fused,A,A,416.0,repaid
Low,network,A,B,46.0,repaid
Low,fused,F,B,125.0,repaid
Low,fused,A,A,25.0,defaulted
Low,fused,A,A,174.0,repaid
Low,fused,H,F,76.0,defaulted
High,gps,A,A,8.0,repaid
Low,fused,D,B,168.0,defaulted
Low,fused,C,B,88.0,repaid
Low,fused,A,A,172.0,defaulted
Low,fused,A,A,4.0,defaulted
Low,fused,D,B,26.0,repaid
Low,fused,D,B,67.0,defaulted
Low,fused,E,C,333.0,defaulted
Low,fused,A,A,6.0,repaid
Low,fused,A,A,32.0,defaulted
Low,fused,A,A,5.0,defaulted
Low,fused,A,B,5.0,repaid
Low,fused,D,B,8.0,repaid
Low,fused,D,B,266.0,defaulted
Low,fused,A,B,2.0,defaulted
Low,fused,C,B,23.0,defaulted
Low,fused,F,B,172.0,repaid
Low,fused,A,A,63.0,repaid
Low,fused,A,A,23.0,repaid
Low,fused,C,B,206.0,defaulted
Low,network,A,A,70.0,repaid
Low,fused,A,A,89.0,defaulted
Low,fused,A,A,8.0,repaid
Low,network,A,B,54.0,repaid
Low,fused,A,B,66.0,repaid
Low,fused,A,B,118.0,defaulted
Low,fused,A,A,20.0,repaid
Low,fused,D,B,7.0,repaid
Low,fused,A,A,32.0,defaulted
Low,fused,A,B,134.0,defaulted
Low,fused,A,A,125.0,repaid
Low,fused,I,D,109.0,repaid
Low,fused,A,A,9.0,defaulted
Low,fused,C,B,66.0,repaid
Low,fused,A,A,3.0,defaulted
Low,fused,E,C,28.0,defaulted
Low,fused,A,A,62.0,repaid
Low,fused,A,A,31.0,defaulted
Low,network,F,B,47.0,defaulted
High,fused,A,A,4.0,repaid
Low,fused,E,C,201.0,repaid
Low,fused,D,B,101.0,repaid
Low,fused,A,A,56.0,repaid
Low,fused,E,D,98.0,defaulted
Low,fused,A,B,7.0,defaulted
Low,fused,F,A,7.0,defaulted
Low,fused,A,A,88.0,defaulted
Low,fused,A,A,144.0,defaulted
Low,fused,A,A,24.0,defaulted
Low,network,A,A,152.0,repaid
Low,fused,A,A,11.0,defaulted
Low,fused,A,A,398.0,repaid
Low,fused,A,A,19.0,defaulted
Low,fused,A,A,30.0,repaid
Low,fused,A,B,41.0,repaid
Low,fused,F,A,35.0,repaid
Low,fused,A,A,104.0,repaid
Low,fused,A,A,6.0,defaulted
Low,fused,A,A,17.0,repaid
Low,fused,A,A,32.0,defaulted
Low,fused,A,B,4.0,repaid
Low,fused,A,A,82.0,defaulted
Low,fused,D,B,118.0,repaid
Low,fused,C,B,75.0,repaid
Low,fused,A,A,51.0,defaulted
Low,fused,A,A,74.0,defaulted
Low,network,A,A,48.0,defaulted
Low,fused,A,A,10.0,defaulted
Low,fused,D,B,18.0,defaulted
Low,network,C,B,324.0,defaulted
High,fused,A,A,39.0,defaulted
Low,network,F,A,20.0,repaid
Low,fused,C,F,213.0,defaulted
Low,fused,A,A,2.0,defaulted
Low,fused,E,C,71.0,repaid
Low,fused,E,C,150.0,repaid
Low,network,F,B,24.0,defaulted
Low,fused,A,A,85.0,defaulted
Low,fused,A,A,38.0,defaulted
Low,fused,A,A,4.0,defaulted
Low,fused,D,B,13.0,repaid
Low,fused,A,A,112.0,repaid
Low,fused,A,A,31.0,defaulted
High,fused,D,B,19.0,defaulted
High,fused,A,A,121.0,repaid
Low,fused,D,B,59.0,defaulted
Low,fused,A,A,12.0,defaulted
Low,fused,A,A,4.0,defaulted
Low,fused,A,A,52.0,repaid
Low,fused,A,A,86.0,repaid
Low,fused,A,B,169.0,repaid
Low,fused,A,A,167.0,repaid
Low,fused,F,G,39.0,repaid
Low,fused,E,C,91.0,repaid
Low,network,D,B,66.0,defaulted
Low,fused,A,A,162.0,defaulted
Low,fused,A,A,56.0,repaid
Low,fused,A,A,7.0,repaid
Low,fused,D,B,25.0,repaid
Low,fused,A,A,51.0,repaid
Low,fused,A,A,64.0,defaulted
Low,fused,A,B,16.0,defaulted
Low,fused,A,B,92.0,repaid
High,fused,A,A,1615.0,repaid
Low,fused,A,A,169.0,repaid
Low,fused,A,A,9.0,repaid
Low,fused,C,B,89.0,defaulted
Low,fused,F,B,31.0,defaulted
High,fused,C,B,5.0,repaid
Low,fused,J,B,21.0,defaulted
Low,fused,I,D,14.0,repaid
Low,fused,A,A,55.0,repaid
Low,fused,A,A,102.0,repaid
Low,fused,C,B,28.0,defaulted
Low,fused,A,A,56.0,defaulted
Low,fused,E,D,15.0,defaulted
Low,fused,A,A,2.0,defaulted
Low,fused,A,A,51.0,repaid
Low,fused,F,A,125.0,repaid
Low,network,A,A,97.0,repaid
Low,fused,D,B,32.0,defaulted
Low,fused,A,A,87.0,repaid
Low,fused,A,A,168.0,defaulted
Low,fused,C,B,78.0,repaid
Low,fused,A,A,144.0,repaid
Low,fused,A,A,8.0,repaid
Low,fused,E,D,146.0,defaulted
Low,fused,F,B,14.0,repaid
Low,fused,A,A,60.0,defaulted
High,gps,C,B,18.0,defaulted
Low,fused,E,C,29.0,repaid
High,fused,A,A,32.0,defaulted
Low,fused,A,A,17.0,repaid
Low,fused,A,A,13.0,repaid
Low,fused,A,A,13.0,repaid
Low,fused,A,A,18.0,defaulted
Low,fused,A,A,20.0,repaid
Low,fused,E,D,1.0,defaulted
Low,fused,A,A,55.0,repaid
Low,fused,A,A,59.0,repaid
Low,fused,A,A,77.0,repaid
Low,fused,A,B,33.0,defaulted
Low,fused,E,C,28.0,repaid
Low,fused,E,C,69.0,repaid
Low,fused,A,A,109.0,defaulted
Low,fused,E,C,48.0,defaulted
Low,fused,A,A,190.0,repaid
Low,fused,A,A,9.0,defaulted
Low,fused,A,A,75.0,repaid
Low,fused,A,A,29.0,repaid
Low,fused,F,B,168.0,repaid
High,fused,A,A,92.0,defaulted
Low,fused,A,A,16.0,defaulted
Low,fused,A,A,8.0,repaid
Low,fused,A,B,81.0,defaulted
Low,network,A,A,49.0,repaid
Low,fused,C,A,5.0,defaulted
Low,fused,A,A,94.0,defaulted
Low,network,D,B,26.0,defaulted
Low,fused,A,A,2.0,repaid
Low,fused,A,A,26.0,repaid
Low,network,A,A,17.0,repaid
High,fused,A,A,1.0,repaid
Low,fused,A,A,4.0,repaid
Low,fused,E,D,197.0,defaulted
Low,fused,A,A,180.0,defaulted
Low,fused,E,C,6.0,defaulted
Low,fused,A,A,12.0,repaid
Low,fused,A,A,190.0,defaulted
Low,fused,I,D,17.0,defaulted
Low,fused,A,A,86.0,repaid
Low,fused,A,A,53.0,repaid
Low,fused,E,C,100.0,repaid
Low,fused,A,A,98.0,defaulted
Low,fused,A,A,45.0,defaulted
Low,fused,A,A,9.0,defaulted
Low,fused,C,B,20.0,defaulted
Low,fused,A,A,32.0,defaulted
Low,fused,D,B,32.0,repaid
High,fused,A,A,119.0,repaid
Low,fused,I,A,119.0,defaulted
Low,fused,A,A,42.0,repaid
Low,fused,F,A,12.0,repaid
Low,fused,A,A,51.0,defaulted
Low,fused,A,A,34.0,defaulted
Low,fused,A,A,35.0,repaid
Low,fused,D,B,8.0,repaid
Low,fused,A,A,67.0,defaulted
High,gps,D,B,1.0,defaulted
Low,network,A,B,73.0,repaid
Low,network,A,A,18.0,defaulted
Low,network,A,A,19.0,defaulted
Low,fused,C,B,10.0,defaulted
Low,fused,A,A,51.0,defaulted
Low,fused,A,A,26.0,defaulted
Low,fused,C,B,15.0,defaulted
Low,fused,A,A,2.0,repaid
Low,fused,A,A,163.0,defaulted
Low,fused,D,B,14.0,repaid
Low,fused,A,A,172.0,repaid
Low,fused,A,B,267.0,defaulted
Low,fused,A,A,141.0,defaulted
Low,fused,C,B,40.0,defaulted
Low,fused,C,B,9.0,defaulted
Low,fused,A,A,8.0,defaulted
Low,fused,A,A,6.0,defaulted
Low,fused,F,B,4.0,defaulted
Low,fused,A,B,38.0,defaulted
Low,fused,C,B,11.0,defaulted
Low,gps,E,D,7.0,defaulted
Low,fused,F,B,12.0,defaulted
Low,network,C,B,142.0,defaulted
High,fused,A,A,53.0,defaulted
Low,fused,E,C,27.0,defaulted
Low,fused,A,A,5.0,defaulted
Low,fused,C,B,16.0,defaulted
Low,fused,E,C,11.0,defaulted
Low,fused,C,B,31.0,defaulted
Low,fused,A,A,7.0,defaulted
High,gps,F,B,9.0,defaulted
Low,network,A,A,32.0,defaulted
